t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
189573.56524063754,2.77283240146127e+39,1.951808428069678e+40,1.0253586919354398e+41,6.319434973642822e+39,2.4642111674584063e+40,3.3944739784323426e+39,1.1828430473168029e+41,4.775487199173183e+39,9.800668766984399e+40,3.75070092092028e+40,1.0108315788191033e+41
215443.46900318822,2.557087241879354e+39,1.951808411684494e+40,1.0253586835901967e+41,6.319434889172815e+39,2.464211145110809e+40,3.394473900921036e+39,1.1828430393614988e+41,4.775395403055025e+39,9.800675281278986e+40,3.7506400610428952e+40,1.0108371255336023e+41
244843.67468222242,2.5379095126041975e+39,1.951808391782164e+40,1.0253586731296658e+41,6.319434825084137e+39,2.4642111200001905e+40,3.39447386669049e+39,1.1828430272952516e+41,4.7753930637438145e+39,9.800675389308054e+40,3.7506377597112016e+40,1.0108373492761615e+41
278255.94022071257,2.5371929281045167e+39,1.951808369497324e+40,1.02535866141027e+41,6.319434754049629e+39,2.46421109192146e+40,3.3944738294550357e+39,1.1828430137429686e+41,4.775393013108237e+39,9.800675279456919e+40,3.7506376886600847e+40,1.0108373412516827e+41
316227.7660168379,2.5371847067850602e+39,1.9518083447099309e+40,1.0253586483726743e+41,6.319434675240142e+39,2.464211060699845e+40,3.3944737883185275e+39,1.182842998659759e+41,4.7753929866293766e+39,9.800675154762265e+40,3.750637643606525e+40,1.0108373283760554e+41
359381.36638046254,2.5371847420158666e+39,1.9518083172873834e+40,1.0253586339478452e+41,6.319434588166902e+39,2.4642110261648994e+40,3.394473742967842e+39,1.1828429819679233e+41,4.775392962557942e+39,9.800675016763058e+40,3.7506375943967217e+40,1.010837314102052e+41
408423.86526745174,2.5371848184555885e+39,1.951808287097512e+40,1.0253586180669174e+41,6.31943449234866e+39,2.4642109881470383e+40,3.3944736930995284e+39,1.1828429635897059e+41,4.775392938514458e+39,9.800674864817355e+40,3.750637540481083e+40,1.0108372983802536e+41
464158.8833612772,2.537184908705634e+39,1.9518082540086186e+40,1.0253586006612225e+41,6.31943438731084e+39,2.4642109464775462e+40,3.3944736384181405e+39,1.1828429434474073e+41,4.7753929124647757e+39,9.800674698277115e+40,3.750637481445531e+40,1.0108372811465203e+41
527499.706370262,2.5371850067647602e+39,1.9518082178894788e+40,1.0253585816622874e+41,6.319434272585308e+39,2.464210900988546e+40,3.394473578635932e+39,1.1828429214633837e+41,4.775392882640595e+39,9.800674516494329e+40,3.750637416905139e+40,1.0108372623361247e+41
599484.2503189408,2.5371851080418147e+39,1.9518081786093362e+40,1.025358561001833e+41,6.319434147710428e+39,2.4642108515130086e+40,3.3944735134729297e+39,1.1828428975600533e+41,4.7753928475030017e+39,9.80067431882141e+40,3.7506373464991176e+40,1.0108372418839354e+41
681292.0690579609,2.5371852089752635e+39,1.9518081360378972e+40,1.025358538611773e+41,6.319434012230947e+39,2.4642107978847435e+40,3.394473442656647e+39,1.1828428716599035e+41,4.775392805711616e+39,9.800674104611565e+40,3.7506372698869487e+40,1.0108372197245557e+41
774263.6826811262,2.5371853067756215e+39,1.951808090045321e+40,1.0253585144242113e+41,6.319433865697416e+39,2.464210739938346e+40,3.394473365921459e+39,1.1828428436854981e+41,4.7753927560973004e+39,9.800673873218964e+40,3.750637186745155e+40,1.0108371957924142e+41
879922.5435691057,2.537185399244752e+39,1.9518080405022125e+40,1.0253584883714408e+41,6.31943370766611e+39,2.464210677509196e+40,3.3944732830083696e+39,1.1828428135594876e+41,4.775392697639296e+39,9.80067362399893e+40,3.750637096764743e+40,1.0108371700218407e+41
